"Carimbo de data/hora","Idade","Instituição de ensino","Curso","Semestre/Período","Turno","Linguagem de programação com experiência","Área de atuação desejada","Artista/Banda favorita","Filme/Anime/Série favorita","Comida favorita (Hamburger, pizza, japonesa, alemã)","Hobby","Cidade natal","Faz atividade física? (crossfit, academia, artes marciais)","Altura"
"2026/09/17 11:39:11 AM GMT-3","18","UTFPR Londrina","Sistema de informação ","2°","Noturno","Python","Dev","Three Days Grace","Tropa de Elite/Fate stay night: UBW/ The Oficce","Lasanha","Video-game","Londrina-PR","Sim","1.68 m"
"2026/09/17 11:39:17 AM GMT-3","19 anos","Universidade Positivo ","Análise e desenvolvimento de sistemas ","Segundo semestre ","Noturno","Python","A que pagar melhor ","Failure","Gênio indomável/ Jojo's/ Breaking bad","Hambúrguer ","Jogos","Londrina ","Não","1,77 (eu acho)"
"2026/09/17 11:39:21 AM GMT-3","18","Unifil","Ads ","5","Noturno","Portugol "," CEO","Kanye West","Tusk","Pizza","Ler dark romance","Rolândia ","Sim","1,50"
"2026/09/17 11:41:42 AM GMT-3","21","Unifil","Engenharia de Software ","5 semestre","Noturno","Java","Ciência de Dados ","Bruce Springsteen e Street Band","GodFather","Churrasco","Ler livros e ver memes da Gretchen","Londrina ","Não","1,65"
"2026/09/17 11:42:05 AM GMT-3","20","Unifil","Engenharia de software ","6","Noturno","Java","IA","Tim maia/beatles","Rocky 4\ fullmetal/ sopranos","Churrasco","Pegar level 10 na faceit","Londrina ","Sim","1,98"
"2026/09/17 11:42:16 AM GMT-3","21","Unifil","Engenharia de Software","6","Noturno","Java","De casa","JuiceWRLD/Artic Monkeys","Evangelion: 3.0+1.0 Thrice Upon a Time/ Sword Art Online/ Bob esponja","japonesa","Desenhar","Londrina","Sim","1,69 m"
"2026/09/17 11:42:17 AM GMT-3","22","UniFil ","Ciências da computação","Sexto semestre","Noturno","Java","Dados","Centilimilimental","Dorohedoro, severance","Comida favorita","Artesanato, jogos","Londrina","Sim","1,63"
"2026/09/17 11:43:02 AM GMT-3","23","unicesumar","analise e desenvolvimento de sistemas","segundo","Noturno","c","projetos","twenty one pilots","shrek 2","japonesa","Patins","Cambira","Não","1.73"
"2026/09/17 11:43:56 AM GMT-3","24","Unifil","Engenharia de Software","5","Noturno","Java","Área de dados","Queen","Clube da luta","Japonesa","F1","Londrina","Não","1,66"
"2026/09/17 11:43:59 AM GMT-3","19","Unifil","Engenharia de Software","6° período","Noturno","Java","Analista de dados","Yunk Vino ","Game of Thrones","Churrasco","Jogar bola","Londrina","Sim","1,78"
"2026/09/17 11:53:08 AM GMT-3","32","UTFPR Cornélio Procópio","Mestrado em Eng Elétrica","4","Integral","Python","CEO de startup de foguete","Dream Theater","Senhor dos Anéis","japonesa","dar aula","Rolândia","Sim","1,82"
